@relation 'malicious_01-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,17-weka.filters.unsupervised.attribute.NominalToBinary-R17-weka.filters.unsupervised.attribute.NumericToBinary-R17-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,17'

@attribute X_1 numeric
@attribute X_2 numeric
@attribute X_3 numeric
@attribute X_4 numeric
@attribute X_5 numeric
@attribute X_6 numeric
@attribute X_7 numeric
@attribute X_8 numeric
@attribute X_9 numeric
@attribute X_10 numeric
@attribute X_11 numeric
@attribute X_12 numeric
@attribute X_13 numeric
@attribute X_14 numeric
@attribute X_15 numeric
@attribute MALICIOUS_OFFENSE_binarized {0,1}

@data
0,36,34,2,1,5,6,1,6,1,174,1,92,29,36,1
0,38,38,10,3,8,3,1,6,2,111,0,48,130,0,1
0,4,4,6,5,5,6,0,5,1,174,1,72,80,34,0
1,37,37,0,0,11,17,1,6,1,236,1,103,142,34,0
0,4,4,6,5,1,0,1,6,1,249,1,111,53,34,0
0,3,2,3,5,1,0,1,6,2,249,2,111,93,34,0
0,4,4,6,5,5,6,1,6,1,249,1,103,87,34,0
0,18,18,9,0,8,3,0,5,1,174,0,54,93,23,0
0,3,2,3,5,1,0,2,3,1,174,1,110,93,34,0
1,42,42,7,3,11,17,0,5,1,74,1,103,29,34,0
0,33,32,2,1,7,1,1,6,1,249,1,72,29,34,0
0,39,39,6,5,6,4,0,5,1,174,1,103,29,34,0
0,4,4,6,5,4,2,1,6,1,174,1,112,93,34,0
0,33,32,2,1,8,3,0,5,1,174,0,112,29,43,0
0,4,4,6,5,2,7,2,2,1,316,1,87,62,34,0
0,33,32,2,1,6,4,0,5,1,174,0,92,93,50,0
0,4,4,6,5,6,4,0,5,1,174,1,54,93,34,0
1,36,34,2,1,15,10,4,3,1,316,1,92,29,34,0
0,45,45,10,3,1,0,1,6,1,303,1,72,62,34,0
0,24,24,0,0,7,1,0,5,1,174,0,112,29,23,0
0,39,39,6,5,2,7,3,2,1,316,1,72,14,34,0
0,36,34,2,1,8,3,0,5,1,249,1,92,93,34,0
0,30,35,7,3,7,1,0,5,1,174,0,112,29,43,0
1,4,4,6,5,15,10,1,6,1,249,1,103,130,34,0
0,8,7,7,3,9,8,0,5,1,316,1,72,62,34,0
0,33,32,2,1,8,3,0,5,1,174,0,112,142,48,0
0,49,49,6,5,5,6,5,6,1,316,1,72,62,34,0
0,3,2,3,5,1,0,3,6,4,0,4,98,29,34,0
0,45,45,10,3,1,0,3,6,1,303,1,72,93,34,0
0,49,49,6,5,8,3,1,1,1,316,1,103,14,34,0
0,45,45,10,3,3,5,0,5,3,0,3,103,80,34,0
0,17,16,0,0,3,5,1,6,1,285,1,103,29,34,0
0,21,23,4,1,5,6,1,2,2,67,2,72,62,34,1
1,4,4,6,5,15,10,0,5,2,145,1,103,29,34,1
0,3,2,3,5,1,0,1,3,1,249,1,103,29,34,0
