@relation 'job_change_data_scientist-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13-weka.filters.unsupervised.attribute.NumericToBinary-R13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R9-10'

@attribute city {city_103,city_40,city_21,city_115,city_162,city_176,city_160,city_46,city_61,city_114,city_13,city_159,city_102,city_67,city_100,city_16,city_71,city_104,city_64,city_101,city_83,city_105,city_73,city_75,city_41,city_11,city_93,city_90,city_36,city_20,city_57,city_152,city_19,city_65,city_74,city_173,city_136,city_98,city_97,city_50,city_138,city_82,city_157,city_89,city_150,city_70,city_175,city_94,city_28,city_59,city_165,city_145,city_142,city_26,city_12,city_37,city_43,city_116,city_23,city_99,city_149,city_10,city_45,city_80,city_128,city_158,city_123,city_7,city_72,city_106,city_143,city_78,city_109,city_24,city_134,city_48,city_144,city_91,city_146,city_133,city_126,city_118,city_9,city_167,city_27,city_84,city_54,city_39,city_79,city_76,city_77,city_81,city_131,city_44,city_117,city_155,city_33,city_141,city_127,city_62,city_53,city_25,city_2,city_69,city_120,city_111,city_30,city_1,city_140,city_179,city_55,city_14,city_42,city_107,city_18,city_139,city_180,city_166,city_121,city_129,city_8,city_31,city_171}
@attribute city_development_index numeric
@attribute gender {Male,Female,Other}
@attribute relevent_experience {'Has relevent experience','No relevent experience'}
@attribute enrolled_university {no_enrollment,'Full time course','Part time course'}
@attribute education_level {Graduate,Masters,'High School',Phd,'Primary School'}
@attribute major_discipline {STEM,'Business Degree',Arts,Humanities,'No Major',Other}
@attribute experience {>20,15,5,<1,11,13,7,17,2,16,1,4,10,14,18,19,12,3,6,9,8,20}
@attribute training_hours numeric
@attribute target_binarized {0,1}

@data
city_40,0.776,Male,'No relevent experience',no_enrollment,Graduate,STEM,15,47,0
city_21,0.624,Male,'No relevent experience','Full time course',Graduate,STEM,5,83,0
city_162,0.767,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,8,0
city_160,0.92,Male,'Has relevent experience',no_enrollment,'High School',STEM,5,24,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,17,123,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,108,0
city_61,0.913,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,23,0
city_21,0.624,Male,'No relevent experience',no_enrollment,Graduate,STEM,2,24,0
city_21,0.624,Male,'No relevent experience','Full time course','High School',STEM,5,26,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Graduate,STEM,16,18,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,1,106,0
city_21,0.624,Male,'Has relevent experience',no_enrollment,Graduate,STEM,2,7,0
city_159,0.843,Male,'Has relevent experience',no_enrollment,Masters,STEM,11,68,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,11,50,0
city_102,0.804,Male,'Has relevent experience',no_enrollment,Masters,STEM,10,48,0
city_40,0.776,Male,'Has relevent experience',no_enrollment,Graduate,Humanities,<1,65,0
city_21,0.624,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,13,0
city_67,0.855,Male,'No relevent experience',no_enrollment,'High School',STEM,4,22,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,Arts,5,72,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,40,0
city_103,0.92,Male,'Has relevent experience','Part time course',Graduate,STEM,19,141,0
city_103,0.92,Female,'No relevent experience','Full time course',Graduate,STEM,5,24,0
city_160,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,>20,82,0
